Key,Summary,Issue Type
SA-4504,Zero.Ai [19.001],Cliente
SA-4500,Cersul [18.001],Cliente
SA-4320,Pierini Revestimentos [17.001],Cliente
SA-4047,Livros Escolares [16.001],Cliente
SA-3947,Alucal [15.001],Cliente
SA-3887,Fontana [14.001],Cliente
SA-3702,Ada [13.001],Cliente
SA-3642,Ferracal [12.001],Cliente
SA-3012,Céos [11.001],Cliente
SA-2859,Vigilância Triângulo [10.001],Cliente
SA-420,Polipet [04.001],Cliente
SA-250,Drin [05.001],Cliente
SA-117,Easy Alert [02.001],Cliente
SA-116,Mademil [01.001],Cliente
SA-115,Centercamp [09.001],Cliente
SA-114,Jugasa [08.001],Cliente
SA-3,Sul Óxidos [06.001],Cliente
SA-2,Darwin [03.001],Cliente
SA-1,Imbraforte [07.001],Cliente